origin,destination,departure_date,collection_date,advance_window_days,total_fare_inr,base_fare_inr,taxes_inr,udf_inr,convenience_fee_inr,carrier,flight_number,depart_time_local,fare_class,source_portal
BLR,BOM,2026-10-08,2026-09-08,30,5356.0,3996.0,1360.0,,,QP,QP1517,05:00,AV,akasa
BLR,BOM,2026-10-08,2026-09-08,30,4778.0,3446.0,1332.0,,,QP,QP1515,06:00,EC,akasa
BLR,BOM,2026-10-08,2026-09-08,30,5356.0,3996.0,1360.0,,,QP,QP1515,06:00,AV,akasa
BLR,BOM,2026-10-08,2026-09-08,30,5894.0,4508.0,1386.0,,,QP,QP1154,12:05,EC,akasa
BLR,BOM,2026-10-08,2026-09-08,30,6470.0,5058.0,1412.0,,,QP,QP1154,12:05,AV,akasa
BLR,BOM,2026-10-08,2026-09-08,30,5894.0,4508.0,1386.0,,,QP,QP1150,16:05,EC,akasa
BLR,BOM,2026-10-08,2026-09-08,30,6470.0,5058.0,1412.0,,,QP,QP1150,16:05,AV,akasa
BLR,BOM,2026-10-08,2026-09-08,30,5894.0,4508.0,1386.0,,,QP,QP1986,17:45,EC,akasa
BLR,BOM,2026-10-08,2026-09-08,30,6470.0,5058.0,1412.0,,,QP,QP1986,17:45,AV,akasa
BLR,BOM,2026-10-08,2026-09-08,30,7637.0,6169.0,1468.0,,,QP,QP1134,22:55,EC,akasa
BLR,BOM,2026-10-08,2026-09-08,30,8215.0,6719.0,1496.0,,,QP,QP1134,22:55,AV,akasa
BLR,BOM,2026-10-23,2026-09-08,45,5488.0,4122.0,1366.0,,,QP,QP1517,05:00,EC,akasa
BLR,BOM,2026-10-23,2026-09-08,45,6066.0,4672.0,1394.0,,,QP,QP1517,05:00,AV,akasa
BLR,BOM,2026-10-23,2026-09-08,45,5488.0,4122.0,1366.0,,,QP,QP1515,06:00,EC,akasa
BLR,BOM,2026-10-23,2026-09-08,45,6066.0,4672.0,1394.0,,,QP,QP1515,06:00,AV,akasa
BLR,BOM,2026-10-23,2026-09-08,45,7082.0,5640.0,1442.0,,,QP,QP1134,22:55,EC,akasa
BLR,BOM,2026-10-23,2026-09-08,45,7660.0,6190.0,1470.0,,,QP,QP1134,22:55,AV,akasa
BLR,DEL,2026-09-09,2026-09-08,1,8714.0,7217.0,1497.0,,,QP,QP1811,04:10,EC,akasa
BLR,DEL,2026-09-09,2026-09-08,1,9115.0,7598.0,1517.0,,,QP,QP1811,04:10,AV,akasa
BLR,DEL,2026-09-09,2026-09-08,1,8714.0,7217.0,1497.0,,,QP,QP1359,05:00,EC,akasa
BLR,DEL,2026-09-09,2026-09-08,1,9115.0,7598.0,1517.0,,,QP,QP1359,05:00,AV,akasa
BLR,DEL,2026-09-09,2026-09-08,1,8714.0,7217.0,1497.0,,,QP,QP1821,13:10,EC,akasa
BLR,DEL,2026-09-09,2026-09-08,1,9115.0,7598.0,1517.0,,,QP,QP1821,13:10,AV,akasa
BLR,DEL,2026-09-09,2026-09-08,1,9299.0,7774.0,1525.0,,,QP,QP1307,17:20,EC,akasa
BLR,DEL,2026-09-09,2026-09-08,1,9700.0,8155.0,1545.0,,,QP,QP1307,17:20,AV,akasa
BLR,DEL,2026-09-09,2026-09-08,1,11488.0,9859.0,1629.0,,,QP,QP1823,06:05,EC,akasa
BLR,DEL,2026-09-09,2026-09-08,1,11889.0,10240.0,1649.0,,,QP,QP1823,06:05,AV,akasa
BLR,DEL,2026-09-15,2026-09-08,7,8714.0,7217.0,1497.0,,,QP,QP1811,04:10,EC,akasa
BLR,DEL,2026-09-15,2026-09-08,7,9115.0,7598.0,1517.0,,,QP,QP1811,04:10,AV,akasa
BLR,DEL,2026-09-15,2026-09-08,7,8714.0,7217.0,1497.0,,,QP,QP1359,05:00,EC,akasa
BLR,DEL,2026-09-15,2026-09-08,7,9115.0,7598.0,1517.0,,,QP,QP1359,05:00,AV,akasa
BLR,DEL,2026-09-15,2026-09-08,7,8714.0,7217.0,1497.0,,,QP,QP1821,13:10,EC,akasa
BLR,DEL,2026-09-15,2026-09-08,7,9115.0,7598.0,1517.0,,,QP,QP1821,13:10,AV,akasa
BLR,DEL,2026-09-15,2026-09-08,7,8714.0,7217.0,1497.0,,,QP,QP1307,17:20,EC,akasa
BLR,DEL,2026-09-15,2026-09-08,7,9115.0,7598.0,1517.0,,,QP,QP1307,17:20,AV,akasa
BLR,DEL,2026-09-15,2026-09-08,7,9971.0,8414.0,1557.0,,,QP,QP1823,06:05,EC,akasa
BLR,DEL,2026-09-15,2026-09-08,7,10372.0,8795.0,1577.0,,,QP,QP1823,06:05,AV,akasa
BLR,DEL,2026-09-23,2026-09-08,15,8714.0,7217.0,1497.0,,,QP,QP1811,04:10,EC,akasa
BLR,DEL,2026-09-23,2026-09-08,15,9115.0,7598.0,1517.0,,,QP,QP1811,04:10,AV,akasa
BLR,DEL,2026-09-23,2026-09-08,15,8714.0,7217.0,1497.0,,,QP,QP1359,05:00,EC,akasa
BLR,DEL,2026-09-23,2026-09-08,15,9115.0,7598.0,1517.0,,,QP,QP1359,05:00,AV,akasa
BLR,DEL,2026-09-23,2026-09-08,15,8714.0,7217.0,1497.0,,,QP,QP1823,06:05,EC,akasa
BLR,DEL,2026-09-23,2026-09-08,15,9115.0,7598.0,1517.0,,,QP,QP1823,06:05,AV,akasa
BLR,DEL,2026-09-23,2026-09-08,15,9299.0,7774.0,1525.0,,,QP,QP1307,17:20,EC,akasa
BLR,DEL,2026-09-23,2026-09-08,15,9700.0,8155.0,1545.0,,,QP,QP1307,17:20,AV,akasa
BLR,DEL,2026-10-08,2026-09-08,30,8714.0,7217.0,1497.0,,,QP,QP1811,03:55,EC,akasa
BLR,DEL,2026-10-08,2026-09-08,30,9115.0,7598.0,1517.0,,,QP,QP1811,03:55,AV,akasa
